,crystal_descriptions,energy_substance_pa,magmom_pa,SYMM,Sm-18-coordinate,Fe-11-coordinate,Fe-8-coordinate,Fe-cuboctahedral,Fe-13-coordinate,Fe-body-centered cubic,Fe-10-coordinate,Sm-16-coordinate,Fe-14-coordinate,Fe-9-coordinate,Fe-12-coordinate,Sm-20-coordinate,Fe-15-coordinate,Sm-2-coordinate,Fe-2-coordinate,Sm-cuboctahedral,Fe-7-coordinate,Sm-6-coordinate,Fe-1-coordinate,Sm-14-coordinate,Sm-8-coordinate,Fe-6-coordinate,Sm-17-coordinate,Sm-10-coordinate,Sm-12-coordinate,Sm-11-coordinate,Sm-octahedral,Sm-3-coordinate,Fe-single-bond,Sm-4-coordinate,Fe-hexagonal planar,Fe-3-coordinate,Fe-16-coordinate,Sm-15-coordinate,Sm-7-coordinate,Sm-5-coordinate,Fe-q6,Fe-5-coordinate,Sm-19-coordinate,Sm-linear,Fe-bent 150 degrees,Sm-13-coordinate,Sm-1-coordinate,Fe-4-coordinate,Sm-9-coordinate,Fe-linear,Fe-17-coordinate,Sm-22-coordinate,Fe-18-coordinate,Sm-body-centered cubic,Sm-bent 150 degrees,Fe-20-coordinate,Fe-square co-planar,Fe-trigonal planar
2114,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.7|Fe4_cuboctahedral_0.4|Fe5_15-coordinate_1.0,0.1706153846153859,2.169836307692308,12.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2115,Sm1_16-coordinate_1.0|Fe1_body-centered cubic_0.4|Fe2_12-coordinate_1.0|Fe3_10-coordinate_1.0|Fe4_8-coordinate_1.0|Fe5_body-centered cubic_0.4,0.1300000000000009,1.7832319999999997,65.0,,,1.0,,,0.4,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.1803846153846164,2.0526521538461537,191.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.1796923076923086,2.154566923076924,1.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,Sm1_2-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_14-coordinate_1.0,0.181615384615386,1.942478615384616,12.0,,,1.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.7|Fe4_12-coordinate_1.0|Fe5_15-coordinate_1.0|Fe6_12-coordinate_1.0|Fe7_15-coordinate_1.0,0.1505384615384632,2.179899307692308,8.0,,,1.0,0.7,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2134,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.1943846153846165,1.853630769230769,12.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2135,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.1817692307692318,2.04363,12.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2138,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.199692307692309,1.8218115384615383,12.0,,,1.0,0.4,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2140,Sm1_20-coordinate_1.0|Fe3_cuboctahedral_0.4|Fe1_14-coordinate_1.0|Fe2_cuboctahedral_0.7,0.0702307692307711,1.99045,139.0,,,,0.7,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
