,crystal_descriptions,energy_substance_pa,magmom_pa,SYMM
2084,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.174692308,2.169435385,12
1290,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.174923077,2.170350769,12
1217,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.175,2.174068,12
2096,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.176153846,2.127695615,12
2229,Sm1_cuboctahedral_0.8|Fe1_body-centered cubic_0.5|Fe2_13-coordinate_1.0|Fe3_8-coordinate_1.0|Fe4_13-coordinate_1.0|Fe5_body-centered cubic_0.5|Fe6_body-centered cubic_0.5,0.177307692,2.13096,12
2092,Sm1_6-coordinate_1.0|Fe1_12-coordinate_1.0|Fe2_9-coordinate_1.0|Fe3_9-coordinate_1.0|Fe4_12-coordinate_1.0|Fe5_12-coordinate_1.0|Fe6_12-coordinate_1.0,0.180384615,1.944296154,12
2109,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.180846154,2.050533692,12
1106,Sm1_2-coordinate_1.0|Fe1_10-coordinate_1.0|Fe2_13-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_14-coordinate_1.0,0.181615385,1.942478615,12
2135,Sm1_20-coordinate_1.0|Fe1_8-coordinate_1.0|Fe2_cuboctahedral_0.7|Fe3_cuboctahedral_0.4|Fe4_15-coordinate_1.0,0.181769231,2.04363,12
2082,Sm1_2-coordinate_1.0|Fe1_13-coordinate_1.0|Fe2_10-coordinate_1.0|Fe3_13-coordinate_1.0|Fe4_14-coordinate_1.0|Fe5_8-coordinate_1.0|Fe6_14-coordinate_1.0,0.182846154,1.909917231,12
